"Monthly average retail prices for selected products 1 2 3 4"
"Frequency: Monthly"
"Table: 18-10-0245-01"
"Release date: 2025-11-05"
"Geography: Canada, Province or territory, Population centre"
""
""

"Geography","Canada",,,,
"Products","May 2025","June 2025","July 2025","August 2025","September 2025"
,"Dollars",,,,
"Beef stewing cuts, per kilogram 5","20.90","23.29","23.61","21.08","23.28"
"Beef striploin cuts, per kilogram 5","30.33","26.06","30.24","30.80","30.18"
"Beef top sirloin cuts, per kilogram 5","25.45","24.81","29.40","28.25","27.54"
"Beef rib cuts, per kilogram 5","32.57","32.31","31.99","33.43","33.67"
"Ground beef, per kilogram 5","14.67","14.73","14.78","15.06","14.85"
"Pork loin cuts, per kilogram 5","8.56","9.34","9.11","9.87","9.43"
"Pork rib cuts, per kilogram 5","8.99","9.47","9.17","9.54","9.59"
"Pork shoulder cuts, per kilogram 5","9.93","9.80","8.24","9.92","7.46"
"Whole chicken, per kilogram 5","5.91","6.64","6.67","6.38","7.05"
"Chicken breasts, per kilogram 5","14.42","14.31","14.75","14.97","14.73"
"Chicken thigh, per kilogram 5","12.69","11.43","12.25","12.17","12.56"
"Chicken drumsticks, per kilogram 5","6.68","6.93","6.60","6.92","7.28"
"Bacon, 500 grams 6","7.23","6.97","7.08","7.66","7.37"
"Wieners, 400 grams 6","3.93","3.92","4.13","4.16","4.31"
"Salmon, per kilogram 5","27.56","26.82","26.49","24.26","27.41"
"Shrimp, 300 grams 6","7.62","7.68","7.59","7.47","7.65"
"Canned salmon, 213 grams 6","4.60","4.79","4.74","4.84","4.88"
"Canned tuna, 170 grams 5","1.67","1.74","1.79","1.61","1.57"
"Meatless burgers, 226 grams 6","6.36","6.50","6.83","6.85","6.75"
"Milk, 1 litre 5","3.08","3.09","3.09","3.10","3.10"
"Milk, 2 litres 5","5.38","5.37","5.39","5.39","5.39"
"Milk, 4 litres 5","6.78","6.79","6.72","6.80","6.86"
"Soy milk, 1.89 litres 6","4.12","4.18","4.23","4.19","4.21"
"Nut milk, 1.89 litres 6","4.09","4.14","4.17","4.13","4.17"
"Cream, 1 litre 5","4.74","4.73","4.76","4.80","4.67"
"Butter, 454 grams 5","5.70","5.92","5.85","5.69","5.52"
"Margarine, 907 grams 6","7.07","7.26","6.91","7.18","7.17"
"Block cheese, 500 grams 6","6.86","6.86","6.94","7.01","6.83"
"Yogurt, 500 grams 6","3.70","3.67","3.70","3.69","3.67"
"Eggs, 1 dozen 5","4.94","4.94","4.95","4.81","4.89"
"Apples, per kilogram 5","6.06","6.19","6.18","6.17","4.68"
"Oranges, per kilogram 5","4.96","5.17","5.14","5.06","3.91"
"Oranges, 1.36 kilograms 5 6","6.18","5.92","5.91","6.24","5.40"
"Bananas, per kilogram 5","1.68","1.67","1.67","1.68","1.67"
"Pears, per kilogram 5","5.54","5.69","5.93","5.81","5.28"
"Lemons, unit 5","0.94","0.99","0.98","0.97","1.05"
"Limes, unit 5","0.78","0.82","0.82","0.80","0.84"
"Grapes, per kilogram 5","8.66","8.49","7.88","6.23","5.77"
"Cantaloupe, unit 5","4.22","3.16","2.84","2.51","3.08"
"Strawberries, 454 grams 6","2.90","3.36","3.33","4.04","4.28"
"Avocado, unit 5","2.48","2.34","2.02","1.94","2.07"
"Potatoes, 4.54 kilograms 5","5.73","5.72","5.52","5.07","4.27"
"Potatoes, per kilogram 5","5.01","5.01","5.08","4.92","4.88"
"Sweet potatoes, per kilogram 5","4.46","4.59","4.68","4.71","4.42"
"Tomatoes, per kilogram 5","4.52","4.48","4.70","4.89","4.67"
"Cabbage, per kilogram 5","2.91","2.95","2.83","2.57","2.38"
"Carrots, 1.36 kilograms 6","4.24","4.46","4.34","3.73","3.56"
"Onions, per kilogram 5","5.53","5.60","5.57","5.48","5.37"
"Onions, 1.36 kilograms 6","4.79","5.05","5.05","4.52","4.46"
"Celery, unit 5","3.36","3.21","2.93","2.53","2.56"
"Cucumber, unit 5","1.28","1.23","1.25","1.41","1.67"
"Mushrooms, 227 grams 6","2.32","2.27","2.17","2.46","2.61"
"Iceberg lettuce, unit 5","3.08","2.73","2.49","2.66","2.84"
"Romaine lettuce, unit 5","3.64","3.17","2.82","2.77","3.17"
"Broccoli, unit 5","2.52","2.48","2.49","2.29","2.24"
"Peppers, per kilogram 5","7.95","7.84","7.72","7.38","6.73"
"Squash, per kilogram 5","5.52","5.65","5.33","4.74","3.21"
"Salad greens, 142 grams 6","4.57","4.61","4.39","4.49","4.55"
"Frozen french fried potatoes, 750 grams 6","3.63","3.55","3.75","3.69","3.70"
"Frozen green beans, 750 grams 6","4.36","4.33","4.36","4.31","4.40"
"Frozen broccoli, 500 grams 5","3.83","3.77","3.84","3.85","3.74"
"Frozen corn, 750 grams  6","3.67","3.61","3.68","3.65","3.66"
